Silhouette score = 0.4964706
Homogeneity = 0.730
Completeness = 0.738
V-measure = 0.734
KMeans Confusion Matrix: 
[[  0   0 177   0   0   1   0   0   0   0]
 [ 55   1   0   1   0   0  99   2   0  24]
 [  2  12   1   0   3   0   8   0   2 149]
 [  0 154   0   2   7   0   7   0  12   1]
 [  7   0   0   0   7 163   4   0   0   0]
 [  0   1   0 136   0   2   0   1  42   0]
 [  1   0   1   0   0   0   2 177   0   0]
 [  2   0   0   5 168   0   4   0   0   0]
 [  6   4   0   6   2   0 105   2  45   4]
 [ 20   8   0   6   7   0   2   0 137   0]]
